off rel,off artifact,D3FEND Tactic,D3FEND Technique,def rel,def artifact
accesses,Password,Evict,Authentication Cache Invalidation,deletes,Credential
accesses,Password,Harden,One-time Password,use-limits,Password
accesses,Password,Harden,Credential Transmission Scoping,restricts,Credential
accesses,Password,Harden,Strong Password Policy,strengthens,Password
accesses,Password,Harden,Credential Rotation,regenerates,Credential
may-create,Intranet Administrative Network Traffic,Isolate,Network Traffic Filtering,filters,Network Traffic
produces,Authentication,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
accesses,Password,Detect,Credential Compromise Scope Analysis,analyzes,Credential
may-create,Intranet Administrative Network Traffic,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
produces,Authentication,Detect,Authentication Event Thresholding,analyzes,Authentication
produces,Authentication,Detect,Session Duration Analysis,analyzes,Authentication
produces,Authentication,Detect,Resource Access Pattern Analysis,analyzes,Authentication
may-create,Intranet Administrative Network Traffic,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Administrative Network Activity Analysis,analyzes,Intranet Administrative Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Client-server Payload Profiling,analyzes,Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Connection Attempt Analysis,analyzes,Intranet Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Network Traffic Community Deviation,analyzes,Network Traffic
accesses,Password,Harden,Strong Password Policy,strengthens,Password
accesses,Password,Harden,Credential Rotation,regenerates,Credential
accesses,Password,Harden,Credential Transmission Scoping,restricts,Credential
accesses,Password,Harden,One-time Password,use-limits,Password
accesses,Password,Deceive,Decoy User Credential,spoofs,Credential
accesses,Password,Evict,Credential Revoking,deletes,Credential
accesses,Password,Evict,Authentication Cache Invalidation,deletes,Credential
modifies,Authentication Log,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
may-create,Intranet Administrative Network Traffic,Isolate,Network Traffic Filtering,filters,Network Traffic
executes,Executable Script,Detect,Dynamic Analysis,analyzes,Executable File
executes,Executable Script,Detect,Emulated File Analysis,analyzes,Executable File
executes,Executable Script,Evict,File Removal,deletes,File
executes,Executable Script,Deceive,Decoy File,spoofs,File
executes,Executable Script,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
executes,Executable Script,Harden,File Encryption,encrypts,File
executes,Executable Script,Isolate,Executable Denylisting,blocks,Executable File
executes,Executable Script,Isolate,Executable Allowlisting,blocks,Executable File
executes,Executable Script,Harden,Local File Permissions,restricts,File
executes,Executable Script,Detect,File Analysis,analyzes,File
executes,Executable Script,Deceive,Decoy File,spoofs,File
executes,Executable Script,Detect,Dynamic Analysis,analyzes,Executable File
executes,Executable Script,Detect,Emulated File Analysis,analyzes,Executable File
executes,Executable Script,Evict,File Removal,deletes,File
executes,Executable Script,Harden,File Encryption,encrypts,File
executes,Executable Script,Harden,Local File Permissions,restricts,File
executes,Executable Script,Isolate,Executable Allowlisting,blocks,Executable File
executes,Executable Script,Isolate,Executable Denylisting,blocks,Executable File
executes,Executable Script,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
executes,Executable Script,Detect,File Analysis,analyzes,File
executes,Executable Script,Deceive,Decoy File,spoofs,File
executes,Executable Script,Detect,Dynamic Analysis,analyzes,Executable File
executes,Executable Script,Detect,Emulated File Analysis,analyzes,Executable File
executes,Executable Script,Evict,File Removal,deletes,File
executes,Executable Script,Harden,File Encryption,encrypts,File
executes,Executable Script,Harden,Local File Permissions,restricts,File
executes,Executable Script,Isolate,Executable Allowlisting,blocks,Executable File
executes,Executable Script,Isolate,Executable Denylisting,blocks,Executable File
executes,Executable Script,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
executes,Executable Script,Detect,File Analysis,analyzes,File
accesses,Database File,Deceive,Decoy File,spoofs,File
may-invoke,Read File,Detect,System Call Analysis,analyzes,System Call
accesses,Database File,Evict,File Removal,deletes,File
accesses,Database File,Harden,Local File Permissions,restricts,File
accesses,Database File,Harden,File Encryption,encrypts,File
accesses,MacOS Keychain,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
accesses,MacOS Keychain,Model,Data Inventory,inventories,Database
may-invoke,Read File,Isolate,System Call Filtering,filters,System Call
accesses,Database File,Detect,File Analysis,analyzes,File
accesses,Database File,Deceive,Decoy File,spoofs,File
may-invoke,Read File,Detect,System Call Analysis,analyzes,System Call
accesses,Database File,Harden,Local File Permissions,restricts,File
accesses,Database File,Harden,File Encryption,encrypts,File
accesses,Database File,Evict,File Removal,deletes,File
may-access,In-memory Password Store,Model,Data Inventory,inventories,Database
may-access,In-memory Password Store,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
accesses,Database File,Detect,File Analysis,analyzes,File
may-invoke,Read File,Isolate,System Call Filtering,filters,System Call
produces,Outbound Internet Network Traffic,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Relay Pattern Analysis,analyzes,Outbound Internet Network Traffic
produces,Outbound Internet Network Traffic,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Client-server Payload Profiling,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Network Traffic Community Deviation,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Isolate,Network Traffic Filtering,filters,Network Traffic
produces,Outbound Internet Network Traffic,Isolate,Outbound Traffic Filtering,filters,Outbound Network Traffic
produces,Outbound Internet Network Traffic,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
produces,Outbound Internet Network Traffic,Detect,Client-server Payload Profiling,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Network Traffic Community Deviation,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Relay Pattern Analysis,analyzes,Outbound Internet Network Traffic
produces,Outbound Internet Network Traffic,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Isolate,Network Traffic Filtering,filters,Network Traffic
produces,Outbound Internet Network Traffic,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
produces,Outbound Internet Network Traffic,Isolate,Outbound Traffic Filtering,filters,Outbound Network Traffic
may-transfer,Certificate File,Deceive,Decoy File,spoofs,File
produces,Outbound Internet Encrypted Traffic,Detect,Network Traffic Community Deviation,analyzes,Network Traffic
creates,Outbound Internet Encrypted Traffic,Detect,Relay Pattern Analysis,analyzes,Outbound Internet Network Traffic
creates,Outbound Internet Encrypted Traffic,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
produces,Outbound Internet Encrypted Traffic,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
may-transfer,Certificate File,Detect,Certificate Analysis,analyzes,Certificate File
creates,Outbound Internet Encrypted Traffic,Detect,Client-server Payload Profiling,analyzes,Network Traffic
creates,Outbound Internet Encrypted Traffic,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
may-transfer,Certificate File,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
creates,Outbound Internet Encrypted Traffic,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
creates,Outbound Internet Encrypted Traffic,Isolate,Network Traffic Filtering,filters,Network Traffic
may-transfer,Certificate File,Evict,File Removal,deletes,File
may-transfer,Certificate File,Harden,File Encryption,encrypts,File
may-transfer,Certificate File,Harden,Local File Permissions,restricts,File
may-transfer,Certificate File,Detect,File Analysis,analyzes,File
creates,Outbound Internet Encrypted Traffic,Isolate,Outbound Traffic Filtering,filters,Outbound Network Traffic
creates,Outbound Internet Encrypted Traffic,Detect,Client-server Payload Profiling,analyzes,Network Traffic
creates,Outbound Internet Encrypted Traffic,Detect,Network Traffic Community Deviation,analyzes,Network Traffic
creates,Outbound Internet Encrypted Traffic,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
creates,Outbound Internet Encrypted Traffic,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
creates,Outbound Internet Encrypted Traffic,Detect,Relay Pattern Analysis,analyzes,Outbound Internet Network Traffic
creates,Outbound Internet Encrypted Traffic,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
creates,Outbound Internet Encrypted Traffic,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
creates,Outbound Internet Encrypted Traffic,Isolate,Network Traffic Filtering,filters,Network Traffic
creates,Outbound Internet Encrypted Traffic,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
creates,Outbound Internet Encrypted Traffic,Isolate,Outbound Traffic Filtering,filters,Outbound Network Traffic
loads,Shared Library File,Deceive,Decoy File,spoofs,File
creates,Executable File,Detect,Dynamic Analysis,analyzes,Executable File
creates,Executable File,Detect,Emulated File Analysis,analyzes,Executable File
may-create,Intranet Administrative Network Traffic,Detect,Client-server Payload Profiling,analyzes,Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Connection Attempt Analysis,analyzes,Intranet Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Network Traffic Community Deviation,analyzes,Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Administrative Network Activity Analysis,analyzes,Intranet Administrative Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
produces,Process,Detect,Process Self-Modification Detection,analyzes,Process
produces,Process,Detect,Process Spawn Analysis,analyzes,Process
invokes,Create Process,Detect,System Call Analysis,analyzes,System Call
may-create,Intranet Administrative Network Traffic,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
produces,Process,Evict,Process Termination,terminates,Process
produces,Process,Evict,Process Suspension,suspends,Process
modifies,PowerShell Profile Script,Evict,File Removal,deletes,File
loads,Executable Binary,Harden,File Encryption,encrypts,File
may-create,Property List File,Harden,Local File Permissions,restricts,File
creates,Shim,Harden,Software Update,updates,Software
modifies,System Configuration Database,Harden,System Configuration Permissions,restricts,System Configuration Database
creates,Executable File,Isolate,Executable Allowlisting,blocks,Executable File
invokes,Create Process,Isolate,Executable Denylisting,restricts,Create Process
invokes,Create Process,Isolate,Hardware-based Process Isolation,restricts,Create Process
may-create,Intranet Administrative Network Traffic,Isolate,Network Traffic Filtering,filters,Network Traffic
may-modify,System Configuration Database Record,Model,Configuration Inventory,inventories,Configuration Resource
modifies,System Configuration Database,Model,Data Inventory,inventories,Database
modifies,PowerShell Profile Script,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
creates,Shim,Model,Software Inventory,inventories,Software
may-create,Executable Script,Detect,File Analysis,analyzes,File
produces,Process,Detect,Process Lineage Analysis,analyzes,Process
modifies,User Init Configuration File,Detect,User Session Init Config Analysis,analyzes,User Init Configuration File
produces,Process,Isolate,Mandatory Access Control,isolates,Process
invokes,Create Process,Isolate,System Call Filtering,filters,System Call
produces,Intranet Administrative Network Traffic,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
produces,Intranet Administrative Network Traffic,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
produces,Intranet Administrative Network Traffic,Detect,Administrative Network Activity Analysis,analyzes,Intranet Administrative Network Traffic
produces,Intranet Administrative Network Traffic,Detect,Client-server Payload Profiling,analyzes,Network Traffic
produces,Intranet Administrative Network Traffic,Detect,Connection Attempt Analysis,analyzes,Intranet Network Traffic
produces,Intranet Administrative Network Traffic,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
produces,Intranet Administrative Network Traffic,Detect,Network Traffic Community Deviation,analyzes,Network Traffic
produces,Intranet Administrative Network Traffic,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
produces,Intranet Administrative Network Traffic,Isolate,Network Traffic Filtering,filters,Network Traffic
produces,Intranet Administrative Network Traffic,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Network Traffic Community Deviation,analyzes,Network Traffic
produces,Internet Network Traffic,Detect,Client-server Payload Profiling,analyzes,Network Traffic
produces,Internet Network Traffic,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
produces,Internet Network Traffic,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
may-transfer,Certificate File,Detect,Certificate Analysis,analyzes,Certificate File
produces,Outbound Internet Encrypted Traffic,Detect,Relay Pattern Analysis,analyzes,Outbound Internet Network Traffic
produces,Internet Network Traffic,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
produces,Outbound Internet Encrypted Traffic,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
may-transfer,Certificate File,Deceive,Decoy File,spoofs,File
may-transfer,Certificate File,Evict,File Removal,deletes,File
may-transfer,Certificate File,Harden,File Encryption,encrypts,File
may-transfer,Certificate File,Harden,Local File Permissions,restricts,File
produces,Outbound Internet Network Traffic,Isolate,Network Traffic Filtering,filters,Network Traffic
may-transfer,Certificate File,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
may-transfer,Certificate File,Detect,File Analysis,analyzes,File
produces,Outbound Internet Network Traffic,Isolate,Outbound Traffic Filtering,filters,Outbound Network Traffic
produces,Outbound Internet Network Traffic,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Relay Pattern Analysis,analyzes,Outbound Internet Network Traffic
produces,Outbound Internet Network Traffic,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Client-server Payload Profiling,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Network Traffic Community Deviation,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Isolate,Network Traffic Filtering,filters,Network Traffic
produces,Outbound Internet Network Traffic,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
produces,Outbound Internet Network Traffic,Isolate,Outbound Traffic Filtering,filters,Outbound Network Traffic
modifies,Process Code Segment,Detect,Process Code Segment Verification,verifies,Process Code Segment
modifies,Stack Frame,Detect,Shadow Stack Comparisons,analyzes,Stack Frame
modifies,Process Code Segment,Harden,Process Segment Execution Prevention,neutralizes,Process Segment
modifies,Stack Frame,Harden,Stack Frame Canary Validation,validates,Stack Frame
modifies,Process Code Segment,Harden,Segment Address Offset Randomization,obfuscates,Process Segment
modifies,Stack Frame,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
modifies,Process Code Segment,Detect,Memory Boundary Tracking,analyzes,Process Code Segment
modifies,Process Code Segment,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
modifies,Process Code Segment,Harden,Segment Address Offset Randomization,obfuscates,Process Segment
may-modify,Stack Frame,Harden,Stack Frame Canary Validation,validates,Stack Frame
modifies,Process Code Segment,Harden,Process Segment Execution Prevention,neutralizes,Process Segment
may-modify,Stack Frame,Detect,Shadow Stack Comparisons,analyzes,Stack Frame
modifies,Process Code Segment,Detect,Process Code Segment Verification,verifies,Process Code Segment
modifies,Process Code Segment,Detect,Memory Boundary Tracking,analyzes,Process Code Segment
produces,Outbound Internet Network Traffic,Detect,Network Traffic Community Deviation,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Relay Pattern Analysis,analyzes,Outbound Internet Network Traffic
produces,Outbound Internet Network Traffic,Detect,Client-server Payload Profiling,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Isolate,Outbound Traffic Filtering,filters,Outbound Network Traffic
produces,Outbound Internet Network Traffic,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
produces,Outbound Internet Network Traffic,Isolate,Network Traffic Filtering,filters,Network Traffic
produces,Outbound Internet Network Traffic,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
may-produce,DNS Lookup,Detect,DNS Traffic Analysis,may-contain,DNS Lookup
may-produce,DNS Lookup,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
produces,Outbound Internet Network Traffic,Detect,Client-server Payload Profiling,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Network Traffic Community Deviation,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Relay Pattern Analysis,analyzes,Outbound Internet Network Traffic
produces,Outbound Internet Network Traffic,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Isolate,Network Traffic Filtering,filters,Network Traffic
produces,Outbound Internet Network Traffic,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
produces,Outbound Internet Network Traffic,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Isolate,Outbound Traffic Filtering,filters,Outbound Network Traffic
modifies,Executable Binary,Deceive,Decoy File,spoofs,File
creates,Executable File,Detect,Emulated File Analysis,analyzes,Executable File
modifies,Executable Binary,Detect,Dynamic Analysis,analyzes,Executable File
modifies,Executable Binary,Evict,File Removal,deletes,File
modifies,Executable Binary,Harden,File Encryption,encrypts,File
modifies,Executable Binary,Harden,Local File Permissions,restricts,File
modifies,Executable Binary,Isolate,Executable Denylisting,blocks,Executable File
creates,Executable File,Isolate,Executable Allowlisting,blocks,Executable File
modifies,Executable Binary,Detect,File Analysis,analyzes,File
creates,JavaScript Blob,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
no defensive relations yet,,,,,
no defensive relations yet,,,,,
accesses,Credential,Deceive,Decoy User Credential,spoofs,Credential
accesses,Password File,Deceive,Decoy File,spoofs,File
produces,Intranet Administrative Network Traffic,Detect,Administrative Network Activity Analysis,analyzes,Intranet Administrative Network Traffic
produces,Intranet Administrative Network Traffic,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
produces,Intranet Administrative Network Traffic,Detect,Connection Attempt Analysis,analyzes,Intranet Network Traffic
produces,Intranet Administrative Network Traffic,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
produces,Intranet Administrative Network Traffic,Detect,Client-server Payload Profiling,analyzes,Network Traffic
produces,Intranet Administrative Network Traffic,Detect,Network Traffic Community Deviation,analyzes,Network Traffic
produces,Intranet Administrative Network Traffic,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
accesses,Encrypted Credential,Detect,Credential Compromise Scope Analysis,analyzes,Credential
produces,Intranet Administrative Network Traffic,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
accesses,Process,Detect,Process Spawn Analysis,analyzes,Process
may-access,Process,Detect,Process Self-Modification Detection,analyzes,Process
accesses,Credential,Evict,Credential Revoking,deletes,Credential
accesses,Encrypted Credential,Evict,Authentication Cache Invalidation,deletes,Credential
accesses,Authentication Service,Evict,Process Suspension,suspends,Process
may-access,Process,Evict,Process Termination,terminates,Process
accesses,Password File,Evict,File Removal,deletes,File
accesses,Encrypted Credential,Harden,Credential Transmission Scoping,restricts,Credential
accesses,Credential,Harden,Credential Rotation,regenerates,Credential
accesses,Password File,Harden,File Encryption,encrypts,File
accesses,Password File,Harden,Local File Permissions,restricts,File
accesses,Process,Isolate,Hardware-based Process Isolation,isolates,Process
produces,Intranet Administrative Network Traffic,Isolate,Network Traffic Filtering,filters,Network Traffic
accesses,Process,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
