off rel,off artifact,D3FEND Tactic,D3FEND Technique,def rel,def artifact
may-create,Intranet Administrative Network Traffic,Detect,Administrative Network Activity Analysis,analyzes,Intranet Administrative Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Connection Attempt Analysis,analyzes,Intranet Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Network Traffic Community Deviation,analyzes,Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
accesses,Password,Evict,Credential Revoking,deletes,Credential
accesses,Password,Evict,Authentication Cache Invalidation,deletes,Credential
accesses,Password,Harden,One-time Password,use-limits,Password
accesses,Password,Harden,Credential Transmission Scoping,restricts,Credential
accesses,Password,Harden,Strong Password Policy,strengthens,Password
accesses,Password,Harden,Credential Rotation,regenerates,Credential
may-create,Intranet Administrative Network Traffic,Isolate,Network Traffic Filtering,filters,Network Traffic
produces,Authentication,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
executes,Executable Script,Detect,Dynamic Analysis,analyzes,Executable File
executes,Executable Script,Detect,Emulated File Analysis,analyzes,Executable File
executes,Executable Script,Evict,File Removal,deletes,File
executes,Executable Script,Deceive,Decoy File,spoofs,File
executes,Executable Script,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
executes,Executable Script,Harden,File Encryption,encrypts,File
executes,Executable Script,Isolate,Executable Denylisting,blocks,Executable File
executes,Executable Script,Isolate,Executable Allowlisting,blocks,Executable File
executes,Executable Script,Harden,Local File Permissions,restricts,File
executes,Executable Script,Detect,File Analysis,analyzes,File
executes,Executable Script,Deceive,Decoy File,spoofs,File
executes,Executable Script,Detect,Dynamic Analysis,analyzes,Executable File
executes,Executable Script,Detect,Emulated File Analysis,analyzes,Executable File
executes,Executable Script,Evict,File Removal,deletes,File
executes,Executable Script,Harden,File Encryption,encrypts,File
executes,Executable Script,Harden,Local File Permissions,restricts,File
executes,Executable Script,Isolate,Executable Allowlisting,blocks,Executable File
executes,Executable Script,Isolate,Executable Denylisting,blocks,Executable File
executes,Executable Script,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
executes,Executable Script,Detect,File Analysis,analyzes,File
executes,Executable Script,Deceive,Decoy File,spoofs,File
executes,Executable Script,Detect,Dynamic Analysis,analyzes,Executable File
executes,Executable Script,Detect,Emulated File Analysis,analyzes,Executable File
executes,Executable Script,Evict,File Removal,deletes,File
executes,Executable Script,Harden,File Encryption,encrypts,File
executes,Executable Script,Harden,Local File Permissions,restricts,File
executes,Executable Script,Isolate,Executable Allowlisting,blocks,Executable File
executes,Executable Script,Isolate,Executable Denylisting,blocks,Executable File
executes,Executable Script,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
executes,Executable Script,Detect,File Analysis,analyzes,File
executes,Executable Script,Deceive,Decoy File,spoofs,File
executes,Executable Script,Detect,Dynamic Analysis,analyzes,Executable File
executes,Executable Script,Detect,Emulated File Analysis,analyzes,Executable File
executes,Executable Script,Evict,File Removal,deletes,File
executes,Executable Script,Harden,File Encryption,encrypts,File
executes,Executable Script,Harden,Local File Permissions,restricts,File
executes,Executable Script,Isolate,Executable Allowlisting,blocks,Executable File
executes,Executable Script,Isolate,Executable Denylisting,blocks,Executable File
executes,Executable Script,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
executes,Executable Script,Detect,File Analysis,analyzes,File
accesses,Database File,Deceive,Decoy File,spoofs,File
may-invoke,Read File,Detect,System Call Analysis,analyzes,System Call
accesses,Database File,Evict,File Removal,deletes,File
accesses,Database File,Harden,Local File Permissions,restricts,File
accesses,Database File,Harden,File Encryption,encrypts,File
accesses,MacOS Keychain,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
accesses,MacOS Keychain,Model,Data Inventory,inventories,Database
may-invoke,Read File,Isolate,System Call Filtering,filters,System Call
accesses,Database File,Detect,File Analysis,analyzes,File
accesses,Database File,Deceive,Decoy File,spoofs,File
may-invoke,Read File,Detect,System Call Analysis,analyzes,System Call
accesses,Database File,Harden,Local File Permissions,restricts,File
accesses,Database File,Harden,File Encryption,encrypts,File
accesses,Database File,Evict,File Removal,deletes,File
may-access,In-memory Password Store,Model,Data Inventory,inventories,Database
may-access,In-memory Password Store,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
accesses,Database File,Detect,File Analysis,analyzes,File
may-invoke,Read File,Isolate,System Call Filtering,filters,System Call
may-access,Database File,Deceive,Decoy File,spoofs,File
may-access,Database File,Evict,File Removal,deletes,File
may-access,Database File,Harden,File Encryption,encrypts,File
may-access,Database File,Harden,Local File Permissions,restricts,File
accesses,Password Store,Model,Data Inventory,inventories,Database
accesses,Password Store,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
may-access,Database File,Detect,File Analysis,analyzes,File
may-add,Executable File,Detect,Dynamic Analysis,analyzes,Executable File
may-add,Executable File,Detect,Emulated File Analysis,analyzes,Executable File
may-add,Executable File,Deceive,Decoy File,spoofs,File
invokes,Create Process,Detect,Process Spawn Analysis,analyzes,Create Process
invokes,Create Process,Detect,System Call Analysis,analyzes,System Call
may-add,Executable File,Evict,File Removal,deletes,File
may-add,Executable File,Harden,File Encryption,encrypts,File
may-add,Executable File,Harden,Local File Permissions,restricts,File
invokes,Create Process,Isolate,Executable Denylisting,restricts,Create Process
may-add,Executable File,Isolate,Executable Allowlisting,blocks,Executable File
invokes,Create Process,Isolate,Hardware-based Process Isolation,restricts,Create Process
invokes,Create Process,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
invokes,Create Process,Isolate,Mandatory Access Control,restricts,Create Process
invokes,Create Process,Isolate,System Call Filtering,filters,System Call
may-add,Executable File,Detect,File Analysis,analyzes,File
may-transfer,Certificate File,Deceive,Decoy File,spoofs,File
produces,Outbound Internet Encrypted Traffic,Detect,Network Traffic Community Deviation,analyzes,Network Traffic
creates,Outbound Internet Encrypted Traffic,Detect,Relay Pattern Analysis,analyzes,Outbound Internet Network Traffic
creates,Outbound Internet Encrypted Traffic,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
produces,Outbound Internet Encrypted Traffic,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
may-transfer,Certificate File,Detect,Certificate Analysis,analyzes,Certificate File
creates,Outbound Internet Encrypted Traffic,Detect,Client-server Payload Profiling,analyzes,Network Traffic
creates,Outbound Internet Encrypted Traffic,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
may-transfer,Certificate File,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
creates,Outbound Internet Encrypted Traffic,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
creates,Outbound Internet Encrypted Traffic,Isolate,Network Traffic Filtering,filters,Network Traffic
may-transfer,Certificate File,Evict,File Removal,deletes,File
may-transfer,Certificate File,Harden,File Encryption,encrypts,File
may-transfer,Certificate File,Harden,Local File Permissions,restricts,File
may-transfer,Certificate File,Detect,File Analysis,analyzes,File
creates,Outbound Internet Encrypted Traffic,Isolate,Outbound Traffic Filtering,filters,Outbound Network Traffic
creates,Outbound Internet Encrypted Traffic,Detect,Client-server Payload Profiling,analyzes,Network Traffic
may-transfer,Certificate File,Detect,Certificate Analysis,analyzes,Certificate File
creates,Outbound Internet Encrypted Traffic,Detect,Relay Pattern Analysis,analyzes,Outbound Internet Network Traffic
creates,Outbound Internet Encrypted Traffic,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
creates,Outbound Internet Encrypted Traffic,Detect,Network Traffic Community Deviation,analyzes,Network Traffic
creates,Outbound Internet Encrypted Traffic,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
creates,Outbound Internet Encrypted Traffic,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
may-transfer,Certificate File,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
creates,Outbound Internet Encrypted Traffic,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
may-transfer,Certificate File,Deceive,Decoy File,spoofs,File
may-transfer,Certificate File,Evict,File Removal,deletes,File
may-transfer,Certificate File,Harden,File Encryption,encrypts,File
creates,Outbound Internet Encrypted Traffic,Isolate,Network Traffic Filtering,filters,Network Traffic
may-transfer,Certificate File,Harden,Local File Permissions,restricts,File
may-transfer,Certificate File,Detect,File Analysis,analyzes,File
creates,Outbound Internet Encrypted Traffic,Isolate,Outbound Traffic Filtering,filters,Outbound Network Traffic
produces,Outbound Internet Network Traffic,Detect,Network Traffic Community Deviation,analyzes,Network Traffic
produces,Internet Network Traffic,Detect,Client-server Payload Profiling,analyzes,Network Traffic
produces,Internet Network Traffic,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
produces,Internet Network Traffic,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
may-transfer,Certificate File,Detect,Certificate Analysis,analyzes,Certificate File
produces,Outbound Internet Encrypted Traffic,Detect,Relay Pattern Analysis,analyzes,Outbound Internet Network Traffic
produces,Internet Network Traffic,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
produces,Outbound Internet Encrypted Traffic,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
may-transfer,Certificate File,Deceive,Decoy File,spoofs,File
may-transfer,Certificate File,Evict,File Removal,deletes,File
may-transfer,Certificate File,Harden,File Encryption,encrypts,File
may-transfer,Certificate File,Harden,Local File Permissions,restricts,File
produces,Outbound Internet Network Traffic,Isolate,Network Traffic Filtering,filters,Network Traffic
may-transfer,Certificate File,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
may-transfer,Certificate File,Detect,File Analysis,analyzes,File
produces,Outbound Internet Network Traffic,Isolate,Outbound Traffic Filtering,filters,Outbound Network Traffic
produces,Outbound Internet Network Traffic,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Relay Pattern Analysis,analyzes,Outbound Internet Network Traffic
produces,Outbound Internet Network Traffic,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Client-server Payload Profiling,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Network Traffic Community Deviation,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Isolate,Network Traffic Filtering,filters,Network Traffic
produces,Outbound Internet Network Traffic,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
produces,Outbound Internet Network Traffic,Isolate,Outbound Traffic Filtering,filters,Outbound Network Traffic
produces,Authentication,Detect,Authentication Event Thresholding,analyzes,Authentication
produces,Authorization,Detect,Authorization Event Thresholding,analyzes,Authorization
produces,Authorization,Detect,Job Function Access Pattern Analysis,analyzes,Authorization
produces,Authentication,Detect,Resource Access Pattern Analysis,analyzes,Authentication
produces,Authentication,Detect,Session Duration Analysis,analyzes,Authentication
produces,Network Session,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
produces,Network Session,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
produces,Network Session,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
produces,Network Session,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
produces,Network Session,Detect,Network Traffic Community Deviation,analyzes,Network Traffic
produces,Network Session,Detect,Client-server Payload Profiling,analyzes,Network Traffic
produces,Authorization,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
produces,Network Session,Isolate,Network Traffic Filtering,filters,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Client-server Payload Profiling,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Network Traffic Community Deviation,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Isolate,Network Traffic Filtering,filters,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Relay Pattern Analysis,analyzes,Outbound Internet Network Traffic
produces,Outbound Internet Network Traffic,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
produces,Outbound Internet Network Traffic,Isolate,Outbound Traffic Filtering,filters,Outbound Network Traffic
unmounts,Network File Share Resource,Deceive,Decoy Network Resource,spoofs,Network Resource
deletes,File,Deceive,Decoy File,spoofs,File
modifies,Operating System Log File,Evict,File Removal,deletes,File
deletes,File,Harden,Local File Permissions,restricts,File
deletes,File,Harden,File Encryption,encrypts,File
modifies,Event Log,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
modifies,Operating System Log File,Detect,File Analysis,analyzes,File
modifies,Operating System Log File,Detect,System File Analysis,analyzes,Operating System File
deletes,File,Deceive,Decoy File,spoofs,File
deletes,File,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
deletes,File,Detect,File Analysis,analyzes,File
deletes,File,Evict,File Removal,deletes,File
deletes,File,Harden,File Encryption,encrypts,File
deletes,File,Harden,Local File Permissions,restricts,File
produces,Outbound Internet Network Traffic,Detect,Network Traffic Community Deviation,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Relay Pattern Analysis,analyzes,Outbound Internet Network Traffic
produces,Outbound Internet Network Traffic,Detect,Client-server Payload Profiling,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Isolate,Outbound Traffic Filtering,filters,Outbound Network Traffic
produces,Outbound Internet Network Traffic,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
produces,Outbound Internet Network Traffic,Isolate,Network Traffic Filtering,filters,Network Traffic
produces,Outbound Internet Network Traffic,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
may-modify,Process Code Segment,Harden,Process Segment Execution Prevention,neutralizes,Process Segment
may-modify,Process Code Segment,Harden,Segment Address Offset Randomization,obfuscates,Process Segment
may-modify,Process Code Segment,Detect,Process Code Segment Verification,verifies,Process Code Segment
accesses,Graphical User Interface,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
modifies,Web Server Application,Model,Software Inventory,inventories,Software
accesses,Keyboard Input Device,Model,Hardware Component Inventory,inventories,Hardware Device
modifies,Web Server Application,Harden,Software Update,updates,Software
accesses,Keyboard Input Device,Isolate,IO Port Restriction,filters,Input Device
may-modify,Process Code Segment,Detect,Memory Boundary Tracking,analyzes,Process Code Segment
accesses,Keyboard Input Device,Detect,Input Device Analysis,analyzes,Input Device
modifies,Web Server Application,Detect,Service Binary Verification,verifies,Service Application
accesses,Keyboard Input Device,Model,Hardware Component Inventory,inventories,Hardware Device
accesses,Keyboard Input Device,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
accesses,Keyboard Input Device,Isolate,IO Port Restriction,filters,Input Device
accesses,Keyboard Input Device,Detect,Input Device Analysis,analyzes,Input Device
may-create,Executable File,Deceive,Decoy File,spoofs,File
creates,Executable Binary,Detect,Emulated File Analysis,analyzes,Executable File
creates,Executable Binary,Detect,Dynamic Analysis,analyzes,Executable File
invokes,Move File,Detect,System Call Analysis,analyzes,System Call
creates,Executable Binary,Evict,File Removal,deletes,File
may-modify,Operating System Executable File,Harden,Local File Permissions,restricts,File
creates,File,Harden,File Encryption,encrypts,File
may-create,Executable File,Isolate,Executable Allowlisting,blocks,Executable File
may-create,Executable File,Isolate,Executable Denylisting,blocks,Executable File
invokes,Move File,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
creates,File,Detect,File Analysis,analyzes,File
modifies,Task Schedule,Detect,Scheduled Job Analysis,analyzes,Task Schedule
may-modify,Operating System Executable File,Detect,System File Analysis,analyzes,Operating System File
invokes,Move File,Isolate,System Call Filtering,filters,System Call
no defensive relations yet,,,,,
modifies,Executable Binary,Deceive,Decoy File,spoofs,File
creates,Executable File,Detect,Emulated File Analysis,analyzes,Executable File
modifies,Executable Binary,Detect,Dynamic Analysis,analyzes,Executable File
modifies,Executable Binary,Evict,File Removal,deletes,File
modifies,Executable Binary,Harden,File Encryption,encrypts,File
modifies,Executable Binary,Harden,Local File Permissions,restricts,File
modifies,Executable Binary,Isolate,Executable Denylisting,blocks,Executable File
creates,Executable File,Isolate,Executable Allowlisting,blocks,Executable File
modifies,Executable Binary,Detect,File Analysis,analyzes,File
creates,JavaScript Blob,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
no defensive relations yet,,,,,
adds,Office Application File,Deceive,Decoy File,spoofs,File
may-add,Executable Script,Detect,Dynamic Analysis,analyzes,Executable File
adds,Office Application File,Detect,Emulated File Analysis,analyzes,Document File
adds,Office Application File,Evict,File Removal,deletes,File
may-add,Executable Script,Harden,File Encryption,encrypts,File
adds,Software,Harden,Software Update,updates,Software
may-modify,System Configuration Database,Harden,System Configuration Permissions,restricts,System Configuration Database
adds,Office Application File,Harden,Local File Permissions,restricts,File
may-add,Executable Script,Isolate,Executable Denylisting,blocks,Executable File
may-add,Executable Script,Isolate,Executable Allowlisting,blocks,Executable File
adds,Software,Model,Software Inventory,inventories,Software
modifies,Application Configuration Database,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
modifies,Application Configuration Database,Model,Configuration Inventory,inventories,Configuration Resource
adds,Office Application File,Model,Data Inventory,inventories,Document File
may-add,Executable Script,Detect,File Analysis,analyzes,File
modifies,Application Configuration Database,Model,Configuration Inventory,inventories,Configuration Resource
modifies,Application Configuration Database,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
accesses,Credential,Deceive,Decoy User Credential,spoofs,Credential
accesses,Password File,Deceive,Decoy File,spoofs,File
produces,Intranet Administrative Network Traffic,Detect,Administrative Network Activity Analysis,analyzes,Intranet Administrative Network Traffic
produces,Intranet Administrative Network Traffic,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
produces,Intranet Administrative Network Traffic,Detect,Connection Attempt Analysis,analyzes,Intranet Network Traffic
produces,Intranet Administrative Network Traffic,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
produces,Intranet Administrative Network Traffic,Detect,Client-server Payload Profiling,analyzes,Network Traffic
produces,Intranet Administrative Network Traffic,Detect,Network Traffic Community Deviation,analyzes,Network Traffic
produces,Intranet Administrative Network Traffic,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
accesses,Encrypted Credential,Detect,Credential Compromise Scope Analysis,analyzes,Credential
produces,Intranet Administrative Network Traffic,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
accesses,Process,Detect,Process Spawn Analysis,analyzes,Process
may-access,Process,Detect,Process Self-Modification Detection,analyzes,Process
accesses,Credential,Evict,Credential Revoking,deletes,Credential
accesses,Encrypted Credential,Evict,Authentication Cache Invalidation,deletes,Credential
accesses,Authentication Service,Evict,Process Suspension,suspends,Process
may-access,Process,Evict,Process Termination,terminates,Process
accesses,Password File,Evict,File Removal,deletes,File
accesses,Encrypted Credential,Harden,Credential Transmission Scoping,restricts,Credential
accesses,Credential,Harden,Credential Rotation,regenerates,Credential
accesses,Password File,Harden,File Encryption,encrypts,File
accesses,Password File,Harden,Local File Permissions,restricts,File
accesses,Process,Isolate,Hardware-based Process Isolation,isolates,Process
produces,Intranet Administrative Network Traffic,Isolate,Network Traffic Filtering,filters,Network Traffic
accesses,Process,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
may-access,System Password Database,Model,Data Inventory,inventories,Database
accesses,Operating System File,Detect,File Analysis,analyzes,File
accesses,Operating System File,Detect,System File Analysis,analyzes,Operating System File
accesses,Authentication Service,Detect,Process Lineage Analysis,analyzes,Process
