off rel,off artifact,D3FEND Tactic,D3FEND Technique,def rel,def artifact
produces,Inbound Internet Mail Traffic,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
produces,Inbound Internet Mail Traffic,Detect,Inbound Session Volume Analysis,analyzes,Inbound Internet Network Traffic
produces,Inbound Internet Mail Traffic,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
produces,Inbound Internet Mail Traffic,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
produces,Email,Evict,File Removal,deletes,File
produces,Email,Detect,Sender Reputation Analysis,analyzes,Email
produces,Email,Detect,Sender MTA Reputation Analysis,analyzes,Email
produces,Email,Model,Data Inventory,inventories,Document File
produces,Inbound Internet Mail Traffic,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
produces,Email,Harden,File Encryption,encrypts,File
produces,Email,Harden,Local File Permissions,restricts,File
produces,Email,Detect,Homoglyph Detection,analyzes,Email
produces,Inbound Internet Mail Traffic,Isolate,Network Traffic Filtering,filters,Network Traffic
produces,Inbound Internet Mail Traffic,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
produces,Email,Evict,Email Removal,deletes,Email
produces,Inbound Internet Mail Traffic,Isolate,Inbound Traffic Filtering,filters,Inbound Network Traffic
produces,Email,Detect,File Analysis,analyzes,File
produces,File,Harden,Local File Permissions,restricts,File
produces,File,Harden,File Encryption,encrypts,File
produces,URL,Detect,Homoglyph Detection,analyzes,URL
produces,URL,Detect,URL Analysis,analyzes,URL
produces,File,Deceive,Decoy File,spoofs,File
produces,File,Evict,File Removal,deletes,File
produces,File,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
produces,URL,Detect,Identifier Analysis,analyzes,Identifier
produces,URL,Detect,URL Reputation Analysis,analyzes,URL
produces,File,Detect,File Analysis,analyzes,File
produces,Outbound Internet Web Traffic,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
produces,Outbound Internet Web Traffic,Detect,Relay Pattern Analysis,analyzes,Outbound Internet Network Traffic
produces,Outbound Internet Web Traffic,Detect,Network Traffic Community Deviation,analyzes,Network Traffic
produces,Outbound Internet Web Traffic,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
executes,Executable File,Deceive,Decoy File,spoofs,File
produces,Outbound Internet Web Traffic,Detect,Client-server Payload Profiling,analyzes,Network Traffic
produces,Outbound Internet Web Traffic,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
executes,Executable File,Detect,Dynamic Analysis,analyzes,Executable File
executes,Executable File,Detect,Emulated File Analysis,analyzes,Executable File
executes,Executable File,Harden,File Encryption,encrypts,File
executes,Executable File,Harden,Local File Permissions,restricts,File
accesses,URL,Detect,Homoglyph Detection,analyzes,URL
accesses,URL,Detect,URL Analysis,analyzes,URL
produces,Outbound Internet Web Traffic,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
accesses,URL,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
executes,Executable File,Evict,File Removal,deletes,File
executes,Executable File,Isolate,Executable Allowlisting,blocks,Executable File
executes,Executable File,Isolate,Executable Denylisting,blocks,Executable File
produces,Outbound Internet Web Traffic,Isolate,Network Traffic Filtering,filters,Network Traffic
accesses,URL,Detect,Identifier Analysis,analyzes,Identifier
executes,Executable File,Detect,File Analysis,analyzes,File
accesses,URL,Detect,URL Reputation Analysis,analyzes,URL
produces,Outbound Internet Web Traffic,Isolate,Outbound Traffic Filtering,filters,Outbound Network Traffic
executes,Executable File,Isolate,Executable Allowlisting,blocks,Executable File
executes,Executable File,Isolate,Executable Denylisting,blocks,Executable File
executes,Executable File,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
executes,Executable File,Deceive,Decoy File,spoofs,File
executes,Executable File,Detect,Emulated File Analysis,analyzes,Executable File
executes,Executable File,Detect,Dynamic Analysis,analyzes,Executable File
executes,Executable File,Harden,File Encryption,encrypts,File
executes,Executable File,Harden,Local File Permissions,restricts,File
executes,Executable File,Detect,File Analysis,analyzes,File
executes,Executable File,Evict,File Removal,deletes,File
