off rel,off artifact,D3FEND Tactic,D3FEND Technique,def rel,def artifact
invokes,Create Process,Isolate,Hardware-based Process Isolation,restricts,Create Process
adds,Web Script File,Isolate,Executable Denylisting,blocks,Executable File
adds,Web Script File,Isolate,Executable Allowlisting,blocks,Executable File
adds,Web Script File,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
modifies,Web Server,Model,Network Node Inventory,inventories,Network Node
adds,Software,Model,Software Inventory,inventories,Software
modifies,Web Server,Model,Physical Link Mapping,maps,Network Node
modifies,Web Server,Model,Logical Link Mapping,maps,Network Node
produces,Process,Detect,Process Lineage Analysis,analyzes,Process
adds,Web Script File,Detect,File Analysis,analyzes,File
modifies,Mail Server,Evict,Email Removal,may-access,Mail Server
adds,Message Transfer Agent,Isolate,Mandatory Access Control,isolates,Process
invokes,Create Process,Isolate,System Call Filtering,filters,System Call
adds,Web Script File,Deceive,Decoy File,spoofs,File
modifies,Web Server,Deceive,Decoy Network Resource,spoofs,Network Resource
adds,Web Script File,Detect,Dynamic Analysis,analyzes,Executable File
adds,Web Script File,Detect,Emulated File Analysis,analyzes,Executable File
produces,Process,Evict,Process Termination,terminates,Process
produces,Process,Evict,Process Suspension,suspends,Process
produces,Process,Detect,Process Self-Modification Detection,analyzes,Process
produces,Process,Detect,Process Spawn Analysis,analyzes,Process
adds,Web Script File,Harden,File Encryption,encrypts,File
adds,Web Script File,Harden,Local File Permissions,restricts,File
adds,Web Script File,Evict,File Removal,deletes,File
modifies,Web Server,Model,Physical Link Mapping,maps,Network Node
modifies,Web Server,Model,Logical Link Mapping,maps,Network Node
modifies,Web Server,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
modifies,Web Server,Model,Network Node Inventory,inventories,Network Node
adds,Web Script File,Isolate,Executable Denylisting,blocks,Executable File
adds,Web Script File,Detect,File Analysis,analyzes,File
adds,Web Script File,Isolate,Executable Allowlisting,blocks,Executable File
produces,Process,Isolate,Hardware-based Process Isolation,isolates,Process
produces,Process,Detect,Process Lineage Analysis,analyzes,Process
produces,Process,Isolate,Mandatory Access Control,isolates,Process
modifies,System Configuration Database Record,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
modifies,System Configuration Database Record,Model,Configuration Inventory,inventories,Configuration Resource
no defensive relations yet,,,,,
may-access,Decoy Artifact,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
may-access,Decoy Artifact,Deceive,Decoy Environment,manages,Decoy Artifact
may-invoke,Create Process,Detect,Process Spawn Analysis,analyzes,Create Process
may-invoke,Create Process,Detect,System Call Analysis,analyzes,System Call
may-invoke,Create Process,Isolate,System Call Filtering,filters,System Call
may-invoke,Create Process,Isolate,Mandatory Access Control,restricts,Create Process
may-invoke,Create Process,Isolate,Executable Allowlisting,restricts,Create Process
may-invoke,Create Process,Isolate,Executable Denylisting,restricts,Create Process
may-invoke,Create Process,Isolate,Hardware-based Process Isolation,restricts,Create Process
may-invoke,Create Process,Detect,System Call Analysis,analyzes,System Call
may-invoke,Create Process,Detect,Process Spawn Analysis,analyzes,Create Process
may-execute,Executable Script,Deceive,Decoy File,spoofs,File
may-execute,Executable Script,Detect,Dynamic Analysis,analyzes,Executable File
may-execute,Executable Script,Detect,Emulated File Analysis,analyzes,Executable File
may-execute,Executable Script,Harden,File Encryption,encrypts,File
may-execute,Executable Script,Harden,Local File Permissions,restricts,File
may-execute,Executable Script,Evict,File Removal,deletes,File
may-invoke,Create Process,Isolate,Hardware-based Process Isolation,restricts,Create Process
may-execute,Executable Script,Isolate,Executable Denylisting,blocks,Executable File
may-invoke,Create Process,Isolate,Executable Allowlisting,restricts,Create Process
may-invoke,Create Process,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
may-execute,Executable Script,Detect,File Analysis,analyzes,File
may-invoke,Create Process,Isolate,System Call Filtering,filters,System Call
may-invoke,Create Process,Isolate,Mandatory Access Control,restricts,Create Process
